event_id,source_user_id,target_user_id,rating,timestamp,event_time
BITCOIN-OTC-000001,6,2,4,1289241911.72836,2010-11-08T18:45:11.728360+00:00
BITCOIN-OTC-000002,6,5,2,1289241941.53378,2010-11-08T18:45:41.533780+00:00
BITCOIN-OTC-000003,1,15,1,1289243140.39049,2010-11-08T19:05:40.390490+00:00
BITCOIN-OTC-000004,4,3,7,1289245277.36975,2010-11-08T19:41:17.369750+00:00
BITCOIN-OTC-000005,13,16,8,1289254254.44746,2010-11-08T22:10:54.447460+00:00
BITCOIN-OTC-000006,13,10,8,1289254300.79514,2010-11-08T22:11:40.795140+00:00
BITCOIN-OTC-000007,7,5,1,1289362700.47913,2010-11-10T04:18:20.479130+00:00
BITCOIN-OTC-000008,2,21,5,1289370556.80938,2010-11-10T06:29:16.809380+00:00
BITCOIN-OTC-000009,2,20,5,1289370622.21473,2010-11-10T06:30:22.214730+00:00
BITCOIN-OTC-000010,21,2,5,1289380981.52787,2010-11-10T09:23:01.527870+00:00
BITCOIN-OTC-000011,21,1,8,1289441411.46365,2010-11-11T02:10:11.463650+00:00
BITCOIN-OTC-000012,21,10,8,1289441438.4426,2010-11-11T02:10:38.442600+00:00
BITCOIN-OTC-000013,21,8,9,1289441450.59006,2010-11-11T02:10:50.590060+00:00
BITCOIN-OTC-000014,21,3,7,1289441525.73831,2010-11-11T02:12:05.738310+00:00
BITCOIN-OTC-000015,17,3,5,1289442313.03711,2010-11-11T02:25:13.037110+00:00
BITCOIN-OTC-000016,17,23,1,1289489668.48486,2010-11-11T15:34:28.484860+00:00
BITCOIN-OTC-000017,10,1,8,1289555656.32898,2010-11-12T09:54:16.328980+00:00
BITCOIN-OTC-000018,10,6,7,1289555731.22217,2010-11-12T09:55:31.222170+00:00
BITCOIN-OTC-000019,10,21,8,1289555745.64663,2010-11-12T09:55:45.646630+00:00
BITCOIN-OTC-000020,10,8,1,1289555767.7095,2010-11-12T09:56:07.709500+00:00
BITCOIN-OTC-000021,10,25,10,1289555841.66508,2010-11-12T09:57:21.665080+00:00
BITCOIN-OTC-000022,10,2,7,1289555871.04233,2010-11-12T09:57:51.042330+00:00
BITCOIN-OTC-000023,10,3,7,1289555875.70958,2010-11-12T09:57:55.709580+00:00
BITCOIN-OTC-000024,4,26,1,1289641693.99029,2010-11-13T09:48:13.990290+00:00
BITCOIN-OTC-000025,26,4,1,1289641703.57785,2010-11-13T09:48:23.577850+00:00
BITCOIN-OTC-000026,5,1,3,1289660298.87048,2010-11-13T14:58:18.870480+00:00
BITCOIN-OTC-000027,5,6,3,1289660319.00982,2010-11-13T14:58:39.009820+00:00
BITCOIN-OTC-000028,5,7,1,1289660347.43795,2010-11-13T14:59:07.437950+00:00
BITCOIN-OTC-000029,1,5,4,1289710643.19963,2010-11-14T04:57:23.199630+00:00
BITCOIN-OTC-000030,6,4,2,1289770700.4293,2010-11-14T21:38:20.429300+00:00
BITCOIN-OTC-000031,4,6,5,1289770756.50297,2010-11-14T21:39:16.502970+00:00
BITCOIN-OTC-000032,2,4,5,1289771303.53929,2010-11-14T21:48:23.539290+00:00
BITCOIN-OTC-000033,17,28,1,1289836081.52099,2010-11-15T15:48:01.520990+00:00
BITCOIN-OTC-000034,17,13,2,1289873367.89538,2010-11-16T02:09:27.895380+00:00
BITCOIN-OTC-000035,13,17,2,1289873611.94452,2010-11-16T02:13:31.944520+00:00
BITCOIN-OTC-000036,13,29,2,1290088212.27332,2010-11-18T13:50:12.273320+00:00
BITCOIN-OTC-000037,29,13,2,1290090118.30882,2010-11-18T14:21:58.308820+00:00
BITCOIN-OTC-000038,17,20,2,1290108486.68868,2010-11-18T19:28:06.688680+00:00
BITCOIN-OTC-000039,4,31,1,1290197549.13082,2010-11-19T20:12:29.130820+00:00
BITCOIN-OTC-000040,31,4,2,1290197554.48422,2010-11-19T20:12:34.484220+00:00
BITCOIN-OTC-000041,32,6,1,1290300441.66925,2010-11-21T00:47:21.669250+00:00
BITCOIN-OTC-000042,13,1,8,1290520563.53596,2010-11-23T13:56:03.535960+00:00
BITCOIN-OTC-000043,7,34,1,1290644457.56157,2010-11-25T00:20:57.561570+00:00
BITCOIN-OTC-000044,34,7,1,1290644477.40213,2010-11-25T00:21:17.402130+00:00
BITCOIN-OTC-000045,32,1,1,1290666928.42163,2010-11-25T06:35:28.421630+00:00
